TEMP,SURVIE_M,FONCTIONNEL_M,SURVIE_F,FONCTIONNEL_F
9,05:00:00,02:48:00,04:12:00,02:12:00
9.1,05:05:00,02:54:00,04:18:00,02:18:00
9.2,05:12:00,02:54:00,04:18:00,02:18:00
9.3,05:12:00,03:18:00,04:24:00,02:18:00
9.4,05:18:00,03:18:00,04:24:00,02:24:00
9.5,05:18:00,03:18:00,04:30:00,02:24:00
9.6,05:24:00,03:06:00,04:30:00,02:24:00
9.7,05:30:00,03:06:00,04:36:00,02:30:00
9.8,05:30:00,03:12:00,04:36:00,02:30:00
9.9,05:36:00,03:12:00,04:42:00,02:30:00
10,05:42:00,03:18:00,04:42:00,02:36:00
10.1,05:42:00,03:18:00,04:48:00,02:36:00
10.2,05:48:00,03:24:00,04:48:00,02:36:00
10.3,05:54:00,03:24:00,04:54:00,02:42:00
10.4,06:00:00,03:30:00,04:54:00,02:42:00
10.5,06:00:00,03:36:00,05:00:00,02:48:00
10.6,06:06:00,03:36:00,05:06:00,02:48:00
10.7,06:12:00,03:42:00,05:06:00,02:48:00
10.8,06:18:00,03:42:00,05:12:00,02:54:00
10.9,06:24:00,03:48:00,05:12:00,02:54:00
11,06:30:00,03:54:00,05:18:00,03:00:00
11.1,06:30:00,03:54:00,05:24:00,03:00:00
11.2,06:36:00,04:00:00,05:30:00,03:06:00
11.3,06:42:00,04:06:00,05:30:00,03:06:00
11.4,06:48:00,04:06:00,05:36:00,03:12:00
11.5,06:54:00,04:12:00,05:42:00,03:12:00
11.6,07:00:00,04:18:00,05:42:00,03:18:00
11.7,07:06:00,04:18:00,05:48:00,03:18:00
11.8,07:12:00,04:24:00,05:54:00,03:24:00
11.9,07:18:00,04:30:00,06:00:00,03:24:00
12,07:24:00,04:36:00,06:06:00,03:30:00
12.1,07:30:00,04:42:00,06:06:00,03:36:00
12.2,07:36:00,04:42:00,06:12:00,03:36:00
12.3,07:48:00,04:48:00,06:18:00,03:42:00
12.4,07:54:00,04:54:00,06:24:00,03:48:00
12.5,08:00:00,05:00:00,06:30:00,03:48:00
12.6,08:06:00,05:06:00,06:36:00,03:54:00
12.7,08:12:00,05:12:00,06:42:00,04:00:00
12.8,08:24:00,05:18:00,06:48:00,04:00:00
12.9,08:30:00,05:24:00,06:54:00,04:06:00
13,08:42:00,05:30:00,07:00:00,04:12:00
13.1,08:48:00,05:36:00,07:06:00,04:12:00
13.2,08:54:00,05:42:00,07:12:00,04:18:00
13.3,09:06:00,05:48:00,07:18:00,04:24:00
13.4,09:12:00,05:54:00,07:24:00,04:24:00
13.5,09:24:00,06:06:00,07:30:00,04:30:00
13.6,09:36:00,06:12:00,07:36:00,04:36:00
13.7,09:42:00,06:18:00,07:42:00,04:42:00
13.8,09:54:00,06:24:00,07:48:00,04:48:00
13.9,10:00:00,06:36:00,08:00:00,04:54:00
14,10:12:00,06:42:00,08:06:00,04:54:00
14.1,10:24:00,06:48:00,08:12:00,05:00:00
14.2,10:30:00,06:54:00,08:18:00,05:06:00
14.3,10:42:00,07:06:00,08:30:00,05:12:00
14.4,10:54:00,07:12:00,08:36:00,05:18:00
14.5,11:06:00,07:18:00,08:42:00,05:24:00
14.6,11:12:00,07:30:00,08:54:00,05:30:00
14.7,11:24:00,07:36:00,09:00:00,05:36:00
14.8,11:36:00,07:48:00,09:12:00,05:42:00
14.9,11:48:00,07:54:00,09:18:00,05:48:00
15,12:00:00,08:06:00,09:30:00,05:54:00
15.1,12:12:00,08:12:00,09:36:00,06:06:00
15.2,12:30:00,08:24:00,09:48:00,06:12:00
15.3,12:42:00,08:36:00,10:00:00,06:18:00
15.4,12:54:00,08:42:00,10:06:00,06:24:00
15.5,13:06:00,08:54:00,10:18:00,06:30:00
15.6,13:24:00,09:06:00,10:30:00,06:42:00
15.7,13:36:00,09:18:00,10:42:00,06:48:00
15.8,13:54:00,09:30:00,10:54:00,06:54:00
15.9,14:06:00,09:36:00,11:00:00,07:06:00
16,14:24:00,09:48:00,11:12:00,07:12:00
16.1,14:36:00,10:00:00,11:24:00,07:24:00
16.2,14:54:00,10:18:00,11:42:00,07:30:00
16.3,15:12:00,10:30:00,11:54:00,07:42:00
16.4,15:30:00,10:42:00,12:06:00,07:48:00
16.5,15:48:00,10:54:00,12:18:00,08:00:00
16.6,16:06:00,11:06:00,12:30:00,08:06:00
16.7,16:24:00,11:24:00,12:48:00,08:18:00
16.8,16:42:00,11:36:00,13:00:00,08:30:00
16.9,17:06:00,11:54:00,13:18:00,08:42:00
17,17:24:00,12:06:00,13:30:00,08:54:00
17.1,17:48:00,12:24:00,13:48:00,09:06:00
17.2,18:06:00,12:36:00,14:06:00,09:18:00
17.3,18:30:00,12:54:00,14:18:00,09:30:00
17.4,18:54:00,13:12:00,14:36:00,09:42:00
17.5,19:18:00,13:30:00,14:54:00,09:54:00
17.6,19:42:00,13:48:00,15:12:00,10:06:00
17.7,20:06:00,14:06:00,15:30:00,10:18:00
17.8,20:30:00,14:24:00,15:54:00,10:36:00
17.9,21:00:00,14:42:00,16:12:00,10:48:00
18,21:24:00,15:06:00,16:30:00,11:00:00
18.1,21:54:00,15:24:00,16:54:00,11:18:00
18.2,22:24:00,15:48:00,17:18:00,11:36:00
18.3,22:54:00,16:06:00,17:36:00,11:48:00
18.4,23:24:00,16:30:00,18:00:00,12:06:00
18.5,23:54:00,16:54:00,18:24:00,12:24:00
18.6,24:24:00,17:18:00,18:48:00,12:42:00
18.7,25:00:00,17:42:00,19:12:00,13:00:00
18.8,25:36:00,18:06:00,19:42:00,13:18:00
18.9,26:12:00,18:30:00,20:06:00,13:36:00
19,26:48:00,19:00:00,20:36:00,13:54:00
